fabric_type,weather,festival,purpose,comfort_level,durability,breathability,sustainability_score,cost_category,weight,moisture_wicking,suitability_score,match_strength
Bamboo,summer,,Loungewear,9,6,9,10,Medium,Light,Yes,10.0,3
Bamboo,summer,Casual Outing,Loungewear,9,6,9,10,Medium,Light,Yes,10.0,3
Muslin,humid,Onam,Loungewear,9,5,10,9,Low,Light,No,10.0,3
Bamboo,humid,Casual Outing,Loungewear,9,6,9,10,Medium,Light,Yes,10.0,3
Muslin,summer,Onam,Loungewear,9,5,10,9,Low,Light,No,10.0,3
Bamboo,humid,,Loungewear,9,6,9,10,Medium,Light,Yes,10.0,3
Bamboo,humid,,Yoga/Meditation,9,6,9,10,Medium,Light,Yes,9.91,3
Bamboo,humid,Casual Outing,Yoga/Meditation,9,6,9,10,Medium,Light,Yes,9.91,3
Bamboo,summer,,Yoga/Meditation,9,6,9,10,Medium,Light,Yes,9.91,3
Bamboo,summer,Casual Outing,Yoga/Meditation,9,6,9,10,Medium,Light,Yes,9.91,3
Bamboo,humid,Casual Outing,Daily Wear,9,6,9,10,Medium,Light,Yes,9.89,3
Bamboo,summer,,Daily Wear,9,6,9,10,Medium,Light,Yes,9.89,3
Bamboo,humid,,Daily Wear,9,6,9,10,Medium,Light,Yes,9.89,3
Bamboo,summer,Casual Outing,Daily Wear,9,6,9,10,Medium,Light,Yes,9.89,3
Cotton,summer,Durga Puja,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Cotton,humid,Office Event,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Linen,humid,Casual Outing,Formal,8,6,10,9,Medium,Light,No,9.8,3
Cotton,summer,Navratri,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Cotton,humid,Casual Outing,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Linen,summer,Casual Outing,Formal,8,6,10,9,Medium,Light,No,9.8,3
Linen,summer,Casual Outing,Beach,8,6,10,9,Medium,Light,No,9.8,3
Linen,humid,Office Event,Beach,8,6,10,9,Medium,Light,No,9.8,3
Cotton,humid,Onam,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Linen,summer,,Beach,8,6,10,9,Medium,Light,No,9.8,3
Linen,summer,Office Event,Beach,8,6,10,9,Medium,Light,No,9.8,3
Cotton,summer,Eid,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Cotton,humid,Interview,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Cotton,summer,Office Event,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Cotton,summer,Graduation,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Linen,humid,Interview,Formal,8,6,10,9,Medium,Light,No,9.8,3
Cotton,humid,Graduation,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Linen,summer,Office Event,Formal,8,6,10,9,Medium,Light,No,9.8,3
Cotton,humid,Pongal,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Cotton,summer,Onam,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Linen,humid,Interview,Beach,8,6,10,9,Medium,Light,No,9.8,3
Linen,humid,Casual Outing,Beach,8,6,10,9,Medium,Light,No,9.8,3
Cotton,humid,Durga Puja,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Linen,summer,,Formal,8,6,10,9,Medium,Light,No,9.8,3
Cotton,summer,Casual Outing,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Linen,humid,Office Event,Formal,8,6,10,9,Medium,Light,No,9.8,3
Cotton,humid,Navratri,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Cotton,summer,Interview,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Linen,summer,Interview,Formal,8,6,10,9,Medium,Light,No,9.8,3
Cotton,summer,,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Linen,summer,Interview,Beach,8,6,10,9,Medium,Light,No,9.8,3
Linen,humid,,Beach,8,6,10,9,Medium,Light,No,9.8,3
Linen,humid,,Formal,8,6,10,9,Medium,Light,No,9.8,3
Cotton,summer,Pongal,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Cotton,humid,Holi,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Cotton,humid,Eid,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Cotton,summer,Holi,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Cotton,humid,,Loungewear,9,7,9,8,Low,Light,Yes,9.8,3
Linen,summer,Interview,Daily Wear,8,6,10,9,Medium,Light,No,9.77,3
Linen,humid,,Daily Wear,8,6,10,9,Medium,Light,No,9.77,3
Linen,summer,,Daily Wear,8,6,10,9,Medium,Light,No,9.77,3
Linen,summer,Office Event,Daily Wear,8,6,10,9,Medium,Light,No,9.77,3
Linen,humid,Interview,Daily Wear,8,6,10,9,Medium,Light,No,9.77,3
